drug_1,drug_2,context,label
5-FU,ABT-888,A2058,7.6935301658
5-FU,ABT-888,A2780,7.7780530600999995
5-FU,ABT-888,A375,-1.1985054379
5-FU,ABT-888,A427,2.5956844375
5-FU,ABT-888,CAOV3,-5.1399712212
5-FU,ABT-888,COLO320DM,4.1759364346
5-FU,ABT-888,DLD1,1.9351271187999999
5-FU,ABT-888,EFM192B,-5.0898528562
5-FU,ABT-888,ES2,1.4986504516999999
5-FU,ABT-888,HCT116,9.4632808694
5-FU,ABT-888,HT144,-3.7013547459
5-FU,ABT-888,HT29,10.1734339084
5-FU,ABT-888,KPL1,2.1570044282
5-FU,ABT-888,LNCAP,1.6326315853
5-FU,ABT-888,LOVO,-8.9792139458
5-FU,ABT-888,MDAMB436,6.8992599953
5-FU,ABT-888,MSTO,-1.7930738645
5-FU,ABT-888,NCIH1650,-5.996370296499999
5-FU,ABT-888,NCIH2122,7.890256814400001
5-FU,ABT-888,NCIH23,-5.0426523057
5-FU,ABT-888,NCIH460,-6.611947916599999
5-FU,ABT-888,NCIH520,3.6988348483999998
5-FU,ABT-888,OCUBM,3.9321484531
5-FU,ABT-888,OV90,-10.068847613700001
5-FU,ABT-888,OVCAR3,17.637032868
5-FU,ABT-888,PA1,5.6864884514
5-FU,ABT-888,RKO,-2.6775877856
5-FU,ABT-888,RPMI7951,-2.1732219296
5-FU,ABT-888,SKMEL30,-36.4592295758
5-FU,ABT-888,SKMES1,-0.08642457939999999
5-FU,ABT-888,SKOV3,5.0771773842000005
5-FU,ABT-888,SW620,0.1081077187
5-FU,ABT-888,SW837,-14.523108627300001
5-FU,ABT-888,T47D,17.4857954498
5-FU,ABT-888,UACC62,-1.5839637825
5-FU,ABT-888,UWB1289BRCA1,6.5772638315
5-FU,ABT-888,UWB1289,12.1947974084
5-FU,ABT-888,VCAP,1.0961027615
5-FU,ABT-888,ZR751,-8.6753170435
5-FU,AZD1775,A2058,13.0526874408
5-FU,AZD1775,A2780,11.2772729471
5-FU,AZD1775,A375,2.7051275464
5-FU,AZD1775,A427,7.4940610975
5-FU,AZD1775,CAOV3,23.9861795387
5-FU,AZD1775,COLO320DM,9.3986845957
5-FU,AZD1775,DLD1,9.8201244067
5-FU,AZD1775,EFM192B,2.9248207557
5-FU,AZD1775,ES2,10.057526086900001
5-FU,AZD1775,HCT116,13.9612713843
5-FU,AZD1775,HT144,6.0653890015
5-FU,AZD1775,HT29,-2.7122052410000004
5-FU,AZD1775,KPL1,-2.0611613488
5-FU,AZD1775,LNCAP,9.970389406599999
5-FU,AZD1775,LOVO,-4.0015073281
5-FU,AZD1775,MDAMB436,23.381134197199998
5-FU,AZD1775,MSTO,-32.9906191851
5-FU,AZD1775,NCIH1650,10.773397668
5-FU,AZD1775,NCIH2122,4.3178885654000005
5-FU,AZD1775,NCIH23,-7.1158991851
5-FU,AZD1775,NCIH460,13.5826976918
5-FU,AZD1775,NCIH520,2.5787085802000003
5-FU,AZD1775,OCUBM,33.5929258791
5-FU,AZD1775,OV90,-3.1936519467
5-FU,AZD1775,OVCAR3,12.2336919622
5-FU,AZD1775,PA1,25.072624767199997
5-FU,AZD1775,RKO,19.3332015124
5-FU,AZD1775,RPMI7951,16.722015115999998
5-FU,AZD1775,SKMEL30,2.2887188875
5-FU,AZD1775,SKMES1,33.3532583969
5-FU,AZD1775,SKOV3,18.744963944400002
5-FU,AZD1775,SW620,8.0516725326
5-FU,AZD1775,SW837,2.5778554159000002
5-FU,AZD1775,T47D,10.0383629005
5-FU,AZD1775,UACC62,11.459350528699998
5-FU,AZD1775,UWB1289BRCA1,6.222113978099999
5-FU,AZD1775,UWB1289,70.1581688167
5-FU,AZD1775,VCAP,-0.9983275325
5-FU,AZD1775,ZR751,0.423932097
5-FU,BEZ-235,A2058,13.6791116022
5-FU,BEZ-235,A2780,3.9332239081
5-FU,BEZ-235,A375,3.2905479611
5-FU,BEZ-235,A427,8.8428112257
5-FU,BEZ-235,CAOV3,4.4325063513
5-FU,BEZ-235,COLO320DM,15.6281477403
5-FU,BEZ-235,DLD1,13.035578754300001
5-FU,BEZ-235,EFM192B,9.660318047
5-FU,BEZ-235,ES2,2.4774290291
5-FU,BEZ-235,HCT116,2.7457843602999996
5-FU,BEZ-235,HT144,2.3230897887
5-FU,BEZ-235,HT29,11.895802721099999
5-FU,BEZ-235,KPL1,16.462849087000002
5-FU,BEZ-235,LNCAP,55.291299337
5-FU,BEZ-235,LOVO,0.0497243445
5-FU,BEZ-235,MDAMB436,18.9742923554
5-FU,BEZ-235,MSTO,-8.3211162122
5-FU,BEZ-235,NCIH1650,17.6381552118
5-FU,BEZ-235,NCIH2122,7.697273484099999
5-FU,BEZ-235,NCIH23,4.9902197108
5-FU,BEZ-235,NCIH460,20.1004137353
5-FU,BEZ-235,NCIH520,16.721797226099998
5-FU,BEZ-235,OCUBM,16.3880555937
5-FU,BEZ-235,OV90,17.5470785652
5-FU,BEZ-235,OVCAR3,17.1196123484
5-FU,BEZ-235,PA1,21.562386718899997
5-FU,BEZ-235,RKO,16.9360013477
5-FU,BEZ-235,RPMI7951,12.7059498499
5-FU,BEZ-235,SKMEL30,-73.1384016545
5-FU,BEZ-235,SKMES1,21.2679035017
5-FU,BEZ-235,SKOV3,4.2458790789
5-FU,BEZ-235,SW620,12.0285902424
5-FU,BEZ-235,SW837,5.514510747899999
5-FU,BEZ-235,T47D,106.00719237780001
5-FU,BEZ-235,UACC62,7.9318775251
5-FU,BEZ-235,UWB1289BRCA1,18.8650385873
5-FU,BEZ-235,UWB1289,17.0637803344
5-FU,BEZ-235,VCAP,11.757424822699999
5-FU,BEZ-235,ZR751,7.0759828056
5-FU,BORTEZOMIB,A2058,-5.2398784479
5-FU,BORTEZOMIB,A2780,-18.599126219000002
5-FU,BORTEZOMIB,A375,-2.4053347825
5-FU,BORTEZOMIB,A427,-7.8767081501
5-FU,BORTEZOMIB,CAOV3,-35.2730418424
5-FU,BORTEZOMIB,COLO320DM,-10.9704461582
5-FU,BORTEZOMIB,DLD1,5.2284767557
5-FU,BORTEZOMIB,EFM192B,-8.3561110301
5-FU,BORTEZOMIB,ES2,-16.130125329200002
5-FU,BORTEZOMIB,HCT116,-4.519269449599999
5-FU,BORTEZOMIB,HT144,-14.5697825802
5-FU,BORTEZOMIB,HT29,-15.9516134706
5-FU,BORTEZOMIB,KPL1,-2.9975327263
5-FU,BORTEZOMIB,LNCAP,-1.8552324806
5-FU,BORTEZOMIB,LOVO,-6.175982009299999
5-FU,BORTEZOMIB,MDAMB436,-2.0255657606
5-FU,BORTEZOMIB,MSTO,52.485189723299996
5-FU,BORTEZOMIB,NCIH1650,-15.7787056902
5-FU,BORTEZOMIB,NCIH2122,-16.6962656751
5-FU,BORTEZOMIB,NCIH23,-9.1909645858
5-FU,BORTEZOMIB,NCIH460,-18.9981302614
5-FU,BORTEZOMIB,NCIH520,-24.067550909899996
5-FU,BORTEZOMIB,OCUBM,-7.508624838899999
5-FU,BORTEZOMIB,OV90,-9.5861668687
5-FU,BORTEZOMIB,OVCAR3,-9.895036465499999
5-FU,BORTEZOMIB,PA1,-20.7061680779
5-FU,BORTEZOMIB,RKO,2.9072006684
5-FU,BORTEZOMIB,RPMI7951,-10.479414394099999
5-FU,BORTEZOMIB,SKMEL30,-172.88870209080002
5-FU,BORTEZOMIB,SKMES1,-11.6427298467
5-FU,BORTEZOMIB,SKOV3,-4.6048936233
5-FU,BORTEZOMIB,SW620,-1.9079668183
5-FU,BORTEZOMIB,SW837,-1.3618595002
5-FU,BORTEZOMIB,T47D,2.7487911813999997
5-FU,BORTEZOMIB,UACC62,-17.8418510777
5-FU,BORTEZOMIB,UWB1289BRCA1,-2.8197803553
5-FU,BORTEZOMIB,UWB1289,-15.0307501791
5-FU,BORTEZOMIB,VCAP,-7.0535106309
5-FU,BORTEZOMIB,ZR751,-17.451375272699998
5-FU,DASATINIB,A2058,31.1256441825
5-FU,DASATINIB,A2780,50.6036602621
5-FU,DASATINIB,A375,2.6836891586
5-FU,DASATINIB,A427,28.348084512899998
